,Time,Instruction,Output Channel,Page,Channel No
68,138,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
69,140,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
70,142,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
71,144,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
72,146,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
73,148,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
74,150,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
75,152,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
76,154,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
77,156,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
78,158,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
79,160,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
80,162,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
81,164,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
82,166,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
83,168,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
84,170,seti,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
85,172,end,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
86,200,seti,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,0
87,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
88,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
89,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
90,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
91,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
92,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
93,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
94,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
95,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
96,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
97,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
98,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
99,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
100,220,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,1
101,700,seti,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,0
