,Time,Instruction,Output Channel,Page,Channel No
0,2,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
1,4,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
2,6,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
3,8,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
4,10,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
5,12,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
6,14,synci,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
7,16,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
8,18,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
9,20,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
10,22,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
11,24,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
12,26,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
13,28,condj,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
14,30,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
15,32,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
16,34,set,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
17,36,synci,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
18,38,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
19,40,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
20,42,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
21,44,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
22,46,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
23,48,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
24,50,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
25,52,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
26,54,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
27,56,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
28,58,synci,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
29,60,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
30,62,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
31,64,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
32,66,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
33,68,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
34,70,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
35,72,condj,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
36,74,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
37,76,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
38,78,set,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,-1
39,80,synci,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
40,82,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
41,84,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
42,86,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,-1
43,200,set,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,7
44,300,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,0
45,310,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,0
46,420,set,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",3,7
47,520,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,0
48,530,seti,"[[0], [], [], [], [], [], [], [43691, 0, 140582567712240, 1000, 20]]",0,0
